,smiles,ki
140,Cc1cc2cc(NC(=O)c3ccccc3)ccc2[nH]1,1650.0
141,NC(=O)N1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,1660.0
142,Cc1ccc(C2CC(c3ccccc3)=NN2C(N)=S)cc1,1800.0
143,COc1ccc(C2CC(c3ccccc3)=NN2C(N)=O)cc1,1880.0
144,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N1CCN(c2ccccc2)CC1,1900.0
145,Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2ccncc2)cc1,2000.0
146,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3cccc(F)c3)cc2)CC1,2000.0
147,CCOc1ccc(C2CNCCS2)cc1,2100.0
148,Cn1c(=O)c2c(nc(OCCc3ccccc3)n2C)n(C)c1=O,2160.0
149,Cn1c(=O)c2c(nc(OCC3CC=CCC3)n2C)n(C)c1=O,2190.0
150,O=C(/C=C/c1cccc2c1OCO2)c1cccc(OC(F)(F)F)c1,2360.0
151,Cl.Nc1ccc(CCCCc2ccccc2)cc1,2390.0
152,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3cccc(Cl)c3)cc2)CC1,2400.0
153,CCCOc1ccc(C2CNC(=O)CS2)cc1,2400.0
154,Nc1cccc(/C=C/c2ccccc2)c1,2470.0
155,CN(Cc1ccc(F)cc1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,2570.0
156,N#Cc1ccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(OC(F)(F)F)cc2)cc1,2600.0
157,Nc1ccc(/C=C/c2ccccc2)cc1,2730.0
158,Cn1c(=O)c2c(nc(OCCOCc3ccccc3)n2C)n(C)c1=O,2760.0
159,COc1cc(C2=NN(C(N)=S)C(c3ccccc3)C2)ccc1O,2780.0
160,O=c1c(CNc2cccc(Cl)c2)coc2ccccc12,2927.0
161,Cc1cc2cc(NC(=O)C3CCCCC3)ccc2[nH]1,3000.0
162,CC1=C(C)C(=O)c2cc(C)ccc2C1=O,3000.0
163,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)CC1,3000.0
164,N=S(=O)(O)Cc1noc2ccccc12,3100.0
165,Cc1ccc(C2CC(c3ccccc3)=NN2C(N)=O)cc1,3200.0
166,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccc(-c4ccccc4)cc3)cc2)CC1,3200.0
167,NC1CC1c1ccc(NC(=O)c2ccccc2)cc1,3500.0
168,CN(Cc1cccc(F)c1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,3580.0
169,O=C1Nc2cc(-c3ccccc3)ccc2C1=O,3670.0
170,O=C1Cc2cc(OC(=O)c3ccccc3)ccc2O1,3830.0
171,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3cccc(Br)c3)cc2)CC1,3900.0
172,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccc(F)cc3)cc2)CC1,4000.0
173,COc1cc(C2=NN(C(=O)Oc3ccccc3)C(c3ccccc3)C2)ccc1O,4000.0
174,NC(=S)N1N=C(c2ccccc2)CC1c1ccncc1,4000.0
175,Cc1ccc(C2CC(c3ccccc3)=NN2C(=N)N)cc1,4110.0
