,smiles,docking_score
141,O=C1COC(=NN1)c1ccc(NC(=O)c2cccc(Cl)c2)cc1,-11.13921
142,CCOC(=O)c1cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2oc1=O,-11.13861
143,Cc1c(C)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2oc1=O,-11.1373
144,O=C1CCc2ccc(OCCCCN3CCc4ccccc4C3)cc2N1,-11.12449
145,Cc1cn(c2ccc3nc(c4ccccc4)ncc3c2)cn1,-11.11768
146,Cc1ccc2oc(=O)c(C(=O)Nc3ccccc3)cc2c1,-11.11256
147,O=C(Nc1cc2ccccc2oc1=O)c1ccc(Cl)cc1,-11.11198
148,Cc1ccc(c2ccc([C@H]3C[C@@H]3NC3CCC(N)CC3)cn2)cc1O,-11.11155
149,Cn1c(=O)c2c(nc(SCCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,-11.11054
150,N#Cc1cccc(c2cc3c(-c4ccccc4C3=O)nn2)c1,-11.10926
151,Cc1ccc([C@H]2CC(=O)c3ccc(F)cc3O2)cc1,-11.1069
152,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1c(Cl)cccc1Cl,-11.106160000000001
153,O=C(Nc1ccc(F)cc1)c1cc2ccccc2oc1=O,-11.103060000000001
154,Cc1ccc(C2CC(=O)c3ccc(F)cc3O2)cc1,-11.10195
155,Cn1c(=O)c2c(cc(C#Cc3cccc(Cl)c3)n2C)n(C)c1=O,-11.09999
156,O=C(Nc1cccc(F)c1)c1cc2ccccc2oc1=O,-11.08893
157,Cc1cc(=O)oc2cc(CNCCC3CCN(Cc4ccccc4)CC3)ccc12,-11.08832
158,Cc1ccccc1c1cc2c(-c3ccccc3C2=O)nn1,-11.078669999999999
159,O=C(NCCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2cc(O)ccc2o1,-11.07575
160,Cc1c(Cl)c(=O)oc2cc(NCc3ccccc3O)ccc12,-11.07333
161,c1ccc2cc(c3csc(NN=C4CCCCC4)n3)ccc2c1,-11.06155
162,O=C1c2ccccc2-c2nnc(c3ccc(F)cc3)cc12,-11.06121
163,Cn1c(=O)c2c(nc3n2CCCN3CCc2cccc(Cl)c2)n(C)c1=O,-11.05396
164,C[C@H](Cc1ccc(OCc2ccc3ccccc3c2)cc1)N(C)CC(=O)O,-11.053939999999999
165,Cn1c(=O)c2c(nc(COc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,-11.05027
166,Cc1cc(=O)oc2cc(OCc3ccc(Br)cc3)ccc12,-11.04693
167,Cc1cccc(C[n+]2ccc(COc3ccc4c(C)cc(=O)oc4c3)cc2)c1,-11.04534
168,O=C1c2ccccc2-c2nnc(Cc3ccccc3)cc12,-11.04317
169,Nc1nn(c2ccccc2Cl)nc1C(=O)CCc1ccccc1,-11.04209
170,N#Cc1ccc(c2cc3c(-c4ccccc4C3=O)nn2)cc1,-11.0401
171,O=c1cc(c2ccc(O)cc2)oc2cc(O)cc(O)c12,-11.03943
172,O=C(Nc1ccc(O)c(O)c1)c1coc2ccccc2c1=O,-11.03937
173,Cc1ccccc1COC(=O)c1nn(c2ccccc2)nc1N,-11.03735
174,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2cccc(O)c2[nH]1,-11.03468
175,O=C(CCCc1ccccc1)Nc1nc2ccccc2c(=O)s1,-11.020539999999999
176,Cn1c(=O)c2c(c3cc(OCc4ccccc4)ccc3n2C)n(C)c1=O,-11.01925
177,COC(=O)c1cc2cc(OCc3cccc(Cl)c3)ccc2oc1=O,-11.017330000000001
178,Cc1cc(=O)oc2cc(OCCN3CCC(Cc4ccccc4)CC3)ccc12,-11.0169
179,Cc1ccc(Nc2ncc3c(n2)CC(C)CC3=O)cc1,-11.01153
180,O=C(Nc1ccc(Cl)cc1)c1coc2ccccc2c1=O,-11.009319999999999
181,Cc1ccc2oc(=O)c(c3ccc([N+](=O)[O-])cc3)cc2c1,-11.00798
182,O=C(CCCc1cccc(Cl)c1)Nc1nc2ccccc2c(=O)s1,-10.99817
183,O=C1c2ccccc2-c2nnc(c3ccc(F)c(F)c3)cc12,-10.99673
184,COc1ccc2occ(C(=O)Nc3cccc(O)c3)c(=O)c2c1,-10.99563
185,Cc1ccc2oc(=O)c(c3ccccc3OCc3cccc(F)c3)cc2c1,-10.99501
186,Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,-10.99489
187,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc([N+](=O)[O-])c4)cc3)ccc12,-10.993219999999999
188,COc1ccc2occ(C(=O)Nc3ccc(Cl)cc3)c(=O)c2c1,-10.993089999999999
189,Cn1c(=O)c2c(cc(Oc3cccc(c4ccccc4)c3)n2C)n(C)c1=O,-10.98815
190,Nc1nn(c2ccccc2)nc1C(=O)NCc1ccccc1,-10.985439999999999
191,Cn1c(=O)c2c(c3ccc(c4ccccc4)cc3n2C)n(C)c1=O,-10.97551
192,Cc1ccc(c2cc(=O)c3ccc(F)cc3o2)cc1,-10.97485
193,Cn1c(=O)c2c(cc(c3nc4ccc(Cl)cc4o3)n2C)n(C)c1=O,-10.969610000000001
194,Cc1cc2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2[nH]1,-10.96767
195,N[C@]1(Cc2ccc3ccccc3c2)C[C@H]1c1ccccc1,-10.965689999999999
196,O=C(Nc1ccc(C(F)(F)F)cc1)c1coc2ccccc2c1=O,-10.96471
197,Cc1ccc2oc(=O)c(c3cccc(OCCCCBr)c3)cc2c1,-10.96225
198,O=C1c2ccccc2-c2nccc3cc(O)cc1c23,-10.95662
199,Cc1ccc2nc(NC(=O)CCCc3ccccc3)sc(=O)c2c1,-10.949810000000001
200,CC1(C)CC(=O)c2ccc(OCc3cccc(Br)c3)cc2O1,-10.94811
201,Cc1ccc(COc2ccc3c(c2)CCCC3=O)cc1,-10.94726
202,Cc1ccc2oc(=O)c(c3cccc([N+](=O)[O-])c3)cc2c1,-10.94701
203,O=C1c2ccccc2-c2nnc(c3ccc(O)cc3)cc12,-10.946110000000001
204,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,-10.942919999999999
205,O=C1c2ccccc2-c2nnc(c3ccccc3Cl)cc12,-10.94077
206,CC1CCC(=NNc2nc(c3ccc4ccccc4c3)cs2)CC1,-10.940560000000001
