,smiles,ic50
228,CC(=O)c1ccc(OCc2ccc(F)cc2)cc1,12.9
229,C/C(=N/Nc1nc(-c2ccc(F)cc2F)cs1)c1nccs1,12.96
230,C/C(=N/Nc1nc(-c2ccccc2)cs1)c1ccncc1,13.0
231,O=c1ccoc2ccc(OCc3cccc(F)c3)cc12,13.0
232,Cc1c(C#N)c(=O)oc2cc(OCc3ccc(Cl)cc3)ccc12,13.0
233,O=C1/C(=C/c2cccc(Br)c2)Cc2cc(O)ccc21,13.0
234,O=C1/C(=C/c2ccc(Cl)cc2)Cc2cc(O)ccc21,13.0
235,O=C1/C(=C/c2ccc(Cl)cc2)COc2cc(Cl)cc(Cl)c21,13.03
236,COc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1,13.05
237,C/C(=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)c1ccncc1,13.12
238,CC(=O)c1ccc(OCc2cccc(Cl)c2)cc1F,13.25
239,CC(=O)Nc1cc2ccc(OCc3cccc(Cl)c3)cc2oc1=O,13.5
240,O=C1OCc2cc(OCc3ccc(Cl)cc3)ccc21,13.87
241,Cc1ccc(NC(=O)c2cc3cc(C)ccc3oc2=O)cc1,13.9
242,CC1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1,14.0
243,C#CCN[C@H]1CCc2ccccc21,14.0
244,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)Cc2cc(O)ccc21,14.0
245,N#Cc1ccc(SCc2ccc(Cl)cc2)cc1C#N,14.0
246,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,14.2
247,O=C1c2ccccc2-c2nnc(-c3ccc(F)cc3)cc21,14.79
248,NCCNC(=O)c1ccc(Cl)cn1,15.0
249,O=C1CCCc2cc(OCc3cccc(Cl)c3)ccc21,15.0
250,CC(C)CCSc1ccc2c(c1)C(=O)NC2=O,15.0
251,Cc1cccc(-c2cc3cc(C)ccc3oc2=O)c1,15.01
252,Cc1ccc2oc(=O)c(C(=O)Nc3ccccc3)cc2c1,15.32
253,C/C(=N/Nc1nc(-c2ccc(F)cc2)cs1)c1cccs1,15.49
254,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O,15.85
255,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S,16.0
256,COc1ccc(C(=O)/C=C/c2ccccc2C(F)(F)F)cc1,16.0
